djpeg
0.0000522 34
0.0072575 102 25
0.0144033 105 25
0.0216046 109 26
0.0287940 112 27
0.0360016 115 27
0.0432177 118 27
0.0504421 121 29
0.0576598 124 29
0.0648564 127 29
0.0720635 130 29
0.0792453 133 29
0.0864383 136 30
0.0936526 139 30
0.1008664 142 30
0.1080769 145 30
0.1152870 148 31
0.1224860 151 31
0.1296787 154 32
0.1368780 157 32
0.1441065 159 32
0.1513022 162 32
0.1585200 165 32
0.1657172 168 33
0.1729293 171 33
0.1801266 173 34
0.1873165 176 35
0.1945105 179 35
0.2017191 181 37
0.2089407 184 37
0.2161643 187 37
0.2233869 189 37
0.2305784 192 37
0.2377877 194 38
0.2449776 197 38
0.2521734 199 40
0.2593807 202 41
0.2665795 204 41
0.2737713 207 42
0.2809734 209 42
0.2881887 212 42
0.2953900 214 43
0.3025876 217 43
0.3098022 219 44
0.3170044 221 44
0.3241977 224 44
0.3314066 226 44
0.3386042 228 44
0.3457894 231 44
0.3529985 233 45
0.3602097 235 46
0.3674199 238 46
0.3746092 240 46
0.3818021 242 46
0.3890055 244 46
0.3962188 246 48
0.4034180 249 48
0.4106081 251 48
0.4178293 253 48
0.4250408 255 48
0.4322338 257 49
0.4394374 259 49
0.4466113 261 49
0.4537959 263 49
0.4609863 266 49
0.4681689 268 49
0.4753977 270 50
0.4826045 272 50
0.4897891 274 50
0.4969913 276 50
0.5042001 278 51
0.5113830 280 51
0.5185789 281 51
0.5257550 283 51
0.5329606 285 51
0.5401575 287 51
0.5473424 289 51
0.5545420 291 52
0.5617610 293 52
0.5689759 295 53
0.5761691 296 53
0.5833528 298 53
0.5905726 300 53
0.5977848 302 53
0.6049813 304 53
0.6122027 305 53
0.6194085 307 54
0.6266282 309 54
0.6338245 311 54
0.6410332 312 54
0.6482225 314 54
0.6554199 316 54
0.6626297 317 54
0.6698457 319 54
0.6770301 321 54
0.6842248 322 55
0.6914254 324 55
0.6986058 326 55
0.7058324 327 55
0.7130449 329 55
0.7202631 330 55
0.7274665 332 55
0.7346643 334 56
0.7418603 335 56
0.7490628 337 56
0.7562471 338 56
0.7634562 340 56
0.7706679 341 56
0.7778667 343 56
0.7850482 344 56
0.7922327 346 56
0.7994492 347 56
0.8066744 349 56
0.8138812 350 56
0.8210782 352 56
0.8282451 353 56
0.8354458 354 56
0.8426255 356 56
0.8498149 357 56
0.8570153 359 56
0.8641980 360 56
0.8714040 361 56
0.8786062 363 56
0.8858088 364 56
0.8930033 365 56
0.9002078 367 56
0.9074221 368 56
0.9146193 369 56
0.9218412 371 56
0.9290453 372 56
0.9362492 373 56
0.9434651 374 56
0.9506598 376 56
0.9578806 377 56
0.9650801 378 56
0.9722921 379 56
0.9794982 381 56
0.9866921 382 56
0.9938753 383 56
1.0010867 384 56
1.0082823 385 56
1.0154876 387 56
1.0226589 388 56
1.0298602 389 56
1.0370830 390 56
1.0442739 391 56
1.0514842 392 56
1.0586988 394 56
1.0658865 395 56
1.0730901 396 56
1.0802928 397 56
1.0875035 398 56
1.0947064 399 56
1.1019005 400 56
1.1091210 401 56
1.1163215 402 56
1.1235299 403 56
1.1307160 404 56
1.1379206 405 56
1.1451092 406 56
1.1523281 408 56
1.1595397 409 56
1.1667353 410 56
1.1739307 411 56
1.1811331 412 56
1.1883479 413 56
1.1955564 414 56
1.2027716 415 56
1.2099584 415 56
1.2171547 416 56
1.2243386 417 56
1.2315273 418 56
1.2387294 419 56
1.2459392 420 56
1.2531220 421 56
1.2603050 422 56
1.2675006 423 56
1.2747030 424 56
1.2819075 425 56
1.2891178 426 56
1.2963159 427 56
1.3035059 428 56
1.3107058 428 56
1.3178816 429 56
1.3250990 430 56
1.3323061 431 56
1.3395042 432 56
1.3466980 433 56
1.3538942 434 56
1.3611036 434 56
1.3683064 435 56
1.3755162 436 56
1.3827292 437 56
1.3899366 438 56
1.3971404 438 56
1.4043403 439 56
1.4115504 440 56
1.4187390 441 56
1.4259398 442 56
1.4331446 442 56
1.4403569 443 56
1.4475457 444 56
1.4547526 445 56
1.4619733 445 56
1.4691709 446 56
1.4763867 447 56
1.4835872 448 56
1.4907795 448 56
1.4979678 449 56
1.5051743 450 56
1.5123709 451 56
1.5195578 451 56
1.5267544 452 56
1.5339633 453 56
1.5411695 453 56
1.5483782 454 56
1.5555856 455 56
1.5627613 455 56
1.5699721 456 56
1.5771702 457 56
1.5843723 457 56
1.5915618 458 56
1.5987587 459 56
1.6059659 459 56
1.6131628 460 56
1.6203689 461 56
1.6275726 461 56
1.6347900 462 56
1.6419723 463 56
1.6491602 463 56
1.6563482 464 56
1.6635308 465 56
1.6707347 465 56
1.6779345 466 56
1.6851265 466 56
1.6923198 467 56
1.6995238 468 56
1.7067001 468 56
1.7138923 469 56
1.7211136 469 56
1.7283106 470 56
1.7355128 470 56
1.7427152 471 56
1.7499257 472 56
1.7571308 472 56
1.7643364 473 56
1.7715320 473 56
1.7787570 474 56
1.7859655 474 56
1.7931626 475 56
1.8003658 475 56
1.8075665 476 56
1.8147921 477 56
1.8219809 477 56
1.8291774 478 56
1.8364086 478 56
1.8436106 479 56
1.8508224 479 56
1.8580244 480 56
1.8652230 480 56
