lua
0.0000522 32
0.0072562 102 16
0.0144019 105 16
0.0216032 109 17
0.0287923 112 18
0.0360001 115 19
0.0432158 118 19
0.0504402 121 21
0.0576579 124 21
0.0648546 127 21
0.0720617 130 21
0.0792434 133 22
0.0864363 136 23
0.0936505 139 23
0.1008648 142 23
0.1080748 145 23
0.1152849 148 24
0.1224845 151 24
0.1296769 154 25
0.1368760 157 26
0.1441047 159 26
0.1513006 162 26
0.1585180 165 27
0.1657159 168 28
0.1729272 171 28
0.1801250 173 29
0.1873146 176 30
0.1945091 179 30
0.2017175 181 32
0.2089390 184 32
0.2161628 187 32
0.2233850 189 32
0.2305770 192 32
0.2377860 194 33
0.2449757 197 33
0.2521721 199 35
0.2593792 202 37
0.2665781 204 37
0.2737696 207 38
0.2809715 209 39
0.2881866 212 39
0.2953879 214 40
0.3025859 217 40
0.3098006 219 41
0.3170025 221 41
0.3241964 224 41
0.3314051 226 41
0.3386026 228 41
0.3457875 231 41
0.3529970 233 42
0.3602076 235 43
0.3674186 238 43
0.3746074 240 43
0.3818005 242 43
0.3890039 244 43
0.3962173 246 44
0.4034161 249 44
0.4106061 251 44
0.4178272 253 44
0.4250388 255 44
0.4322324 257 45
0.4394360 259 45
0.4466096 261 45
0.4537941 263 45
0.4609844 266 45
0.4681668 268 45
0.4753957 270 46
0.4826028 272 46
0.4897875 274 46
0.4969895 276 46
0.5041986 278 47
0.5113811 280 47
0.5185773 281 47
0.5257529 283 47
0.5329590 285 47
0.5401557 287 47
0.5473411 289 47
0.5545406 291 48
0.5617593 293 48
0.5689741 295 49
0.5761677 296 49
0.5833512 298 49
0.5905707 300 49
0.5977834 302 49
0.6049799 304 49
0.6122012 305 49
0.6194071 307 50
0.6266261 309 50
0.6338228 311 50
0.6410318 312 50
0.6482209 314 50
0.6554186 316 50
0.6626281 317 50
0.6698442 319 50
0.6770283 321 50
0.6842233 322 50
0.6914238 324 50
0.6986041 326 50
0.7058309 327 50
0.7130430 329 50
0.7202614 330 50
0.7274644 332 50
0.7346630 334 51
0.7418584 335 51
0.7490608 337 51
0.7562457 338 51
0.7634546 340 51
0.7706664 341 51
0.7778652 343 51
0.7850466 344 51
0.7922313 346 51
0.7994474 347 51
0.8066724 349 51
0.8138793 350 51
0.8210767 352 51
0.8282438 353 51
0.8354443 354 51
0.8426235 356 51
0.8498130 357 51
0.8570134 359 51
0.8641964 360 51
0.8714023 361 51
0.8786048 363 51
0.8858071 364 51
0.8930018 365 51
0.9002058 367 51
0.9074200 368 51
0.9146178 369 51
0.9218393 371 51
0.9290437 372 51
0.9362476 373 51
0.9434633 374 51
0.9506581 376 51
0.9578785 377 51
0.9650784 378 51
0.9722902 379 51
0.9794962 381 51
0.9866901 382 51
0.9938732 383 51
1.0010853 384 51
1.0082807 385 51
1.0154858 387 51
1.0226572 388 51
1.0298587 389 51
1.0370815 390 51
1.0442721 391 51
1.0514823 392 51
1.0586972 394 51
1.0658847 395 51
1.0730880 396 51
1.0802911 397 51
1.0875022 398 51
1.0947050 399 51
1.1018990 400 51
1.1091193 401 51
1.1163199 402 51
1.1235282 403 51
1.1307142 404 51
1.1379191 405 51
1.1451078 406 51
1.1523263 408 51
1.1595377 409 51
1.1667338 410 51
1.1739289 411 51
1.1811311 412 51
1.1883464 413 51
1.1955545 414 51
1.2027695 415 51
1.2099565 415 51
1.2171526 416 51
1.2243369 417 51
1.2315252 418 51
1.2387279 419 51
1.2459375 420 51
1.2531202 421 52
1.2603031 422 52
1.2674991 423 52
1.2747010 424 52
1.2819058 425 52
1.2891157 426 52
1.2963140 427 52
1.3035039 428 52
1.3107043 428 52
1.3178803 429 52
1.3250973 430 52
1.3323043 431 52
1.3395023 432 52
1.3466965 433 52
1.3538922 434 52
1.3611016 434 52
1.3683050 435 52
1.3755146 436 52
1.3827274 437 52
1.3899350 438 52
1.3971384 438 52
1.4043385 439 52
1.4115483 440 52
1.4187369 441 52
1.4259380 442 52
1.4331430 442 52
1.4403553 443 52
1.4475438 444 52
1.4547511 445 52
1.4619718 445 52
1.4691690 446 52
1.4763849 447 52
1.4835855 448 52
1.4907777 448 52
1.4979662 449 52
1.5051722 450 52
1.5123696 451 52
1.5195559 451 52
1.5267529 452 52
1.5339619 453 52
1.5411679 453 52
1.5483768 454 52
1.5555837 455 52
1.5627598 455 52
1.5699705 456 52
1.5771682 457 52
1.5843709 457 52
1.5915598 458 52
1.5987566 459 52
1.6059645 459 52
1.6131614 460 52
1.6203671 461 52
1.6275707 461 52
1.6347879 462 52
1.6419702 463 52
1.6491586 463 52
1.6563461 464 52
1.6635289 465 52
1.6707330 465 52
1.6779330 466 52
1.6851245 466 52
1.6923179 467 52
1.6995224 468 52
1.7066987 468 52
1.7138907 469 52
1.7211115 469 52
1.7283086 470 52
1.7355112 470 52
1.7427132 471 52
1.7499242 472 52
1.7571289 472 52
1.7643351 473 52
1.7715305 473 52
1.7787550 474 52
1.7859635 474 52
1.7931611 475 52
1.8003640 475 52
1.8075650 476 52
1.8147907 477 52
1.8219788 477 52
1.8291753 478 52
1.8364071 478 52
1.8436085 479 52
1.8508210 479 52
1.8580224 480 52
1.8652211 480 52
1.8723886 481 52
1.8795873 481 52
1.8867897 482 52
1.8939939 482 52
1.9012047 483 52
1.9084147 483 52
1.9156193 484 52
1.9228300 484 52
1.9300359 485 52
1.9372299 485 52
1.9444186 485 52
1.9516008 486 52
1.9588092 486 52
1.9660033 487 52
1.9731963 487 52
1.9804047 488 52
1.9876327 488 52
1.9948242 489 52
2.0020260 489 52
2.0092277 490 52
2.0164318 490 52
2.0236326 490 52
2.0308271 491 52
2.0380090 491 52
2.0451961 492 52
2.0523946 492 52
2.0595882 492 52
2.0667898 493 52
2.0740017 493 52
2.0811695 494 52
2.0883623 494 53
2.0955557 495 53
2.1027475 495 53
2.1099767 495 53
2.1171831 496 53
2.1243898 496 53
2.1315891 496 53
2.1387820 497 53
2.1459902 497 53
2.1531941 498 53
2.1603954 498 53
2.1676173 498 53
2.1748324 499 53
2.1820304 499 53
2.1892146 499 53
2.1964154 500 53
2.2036014 500 53
2.2108217 501 53
2.2180152 501 53
2.2251916 501 53
2.2323814 502 53
2.2395509 502 53
2.2467535 502 53
2.2539609 503 53
2.2611496 503 53
2.2683460 503 53
2.2755200 504 53
2.2827033 504 53
2.2898894 504 53
2.2971036 505 53
2.3042835 505 53
2.3114758 505 53
2.3186930 506 53
2.3258806 506 53
2.3330867 506 53
2.3402955 507 53
