mjs
0.0000522 15
0.0072607 102 33
0.0144064 106 33
0.0216077 109 34
0.0287968 112 35
0.0360046 116 35
0.0432203 119 35
0.0504447 123 36
0.0576624 126 36
0.0648592 129 36
0.0720663 132 36
0.0792479 135 36
0.0864408 139 37
0.0936551 142 37
0.1008693 145 37
0.1080793 148 37
0.1152894 151 38
0.1224891 154 38
0.1296815 157 39
0.1368805 160 39
0.1441092 163 39
0.1513051 166 39
0.1585226 169 40
0.1657204 172 41
0.1729317 175 41
0.1801295 178 42
0.1873192 181 43
0.1945136 184 43
0.2017220 187 45
0.2089435 190 45
0.2161673 192 45
0.2233896 195 45
0.2305815 198 45
0.2377906 201 46
0.2449802 203 46
0.2521766 206 48
0.2593837 209 50
0.2665826 211 50
0.2737741 214 51
0.2809760 217 52
0.2881912 219 52
0.2953924 222 53
0.3025905 224 53
0.3098051 227 54
0.3170070 230 54
0.3242009 232 54
0.3314096 235 54
0.3386071 237 54
0.3457920 239 54
0.3530015 242 55
0.3602121 244 56
0.3674231 247 56
0.3746119 249 56
0.3818050 252 56
0.3890085 254 56
0.3962218 256 58
0.4034206 259 58
0.4106106 261 58
0.4178317 263 58
0.4250434 265 58
0.4322370 268 59
0.4394405 270 59
0.4466141 272 59
0.4537986 274 59
0.4609890 277 59
0.4681713 279 59
0.4754003 281 60
0.4826073 283 60
0.4897920 285 60
0.4969940 287 60
0.5042032 289 61
0.5113856 291 61
0.5185818 294 61
0.5257575 296 61
0.5329635 298 61
0.5401602 300 61
0.5473456 302 61
0.5545452 304 62
0.5617639 306 62
0.5689786 308 63
0.5761722 310 63
0.5833558 311 63
0.5905752 313 63
0.5977880 315 63
0.6049844 317 63
0.6122058 319 63
0.6194116 321 64
0.6266307 323 64
0.6338273 325 64
0.6410363 327 64
0.6482254 328 64
0.6554231 330 64
0.6626326 332 64
0.6698487 334 64
0.6770329 336 64
0.6842279 337 65
0.6914284 339 65
0.6986087 341 65
0.7058354 342 65
0.7130475 344 65
0.7202659 346 65
0.7274689 348 65
0.7346675 349 66
0.7418629 351 66
0.7490654 353 66
0.7562502 354 66
0.7634591 356 66
0.7706710 357 66
0.7778697 359 66
0.7850511 361 66
0.7922358 362 66
0.7994520 364 66
0.8066769 365 66
0.8138839 367 66
0.8210813 368 66
0.8282483 370 66
0.8354489 371 66
0.8426280 373 66
0.8498176 374 66
0.8570179 376 66
0.8642009 377 66
0.8714069 379 66
0.8786093 380 66
0.8858116 382 66
0.8930063 383 66
0.9002103 384 66
0.9074245 386 66
0.9146223 387 66
0.9218438 389 66
0.9290482 390 66
0.9362521 391 66
0.9434678 393 66
0.9506627 394 66
0.9578831 395 66
0.9650829 397 66
0.9722947 398 66
0.9795007 399 66
0.9866946 401 66
0.9938777 402 66
1.0010898 403 66
1.0082852 404 66
1.0154903 406 66
1.0226617 407 66
1.0298632 408 66
1.0370860 409 66
1.0442766 411 66
1.0514868 412 66
1.0587017 413 66
1.0658892 414 66
1.0730926 415 66
1.0802957 417 66
1.0875067 418 66
1.0947096 419 66
1.1019035 420 66
1.1091238 421 66
1.1163244 422 66
1.1235327 424 66
1.1307188 425 66
1.1379236 426 66
1.1451123 427 66
1.1523308 428 66
1.1595423 429 66
1.1667384 430 66
1.1739334 431 66
1.1811356 432 66
1.1883509 433 66
1.1955591 434 66
1.2027740 435 66
1.2099610 437 66
1.2171571 438 66
1.2243414 439 66
1.2315297 440 66
1.2387324 441 66
1.2459420 442 66
1.2531247 443 67
1.2603076 444 67
1.2675036 445 67
1.2747055 446 67
1.2819103 446 67
1.2891202 447 67
1.2963185 448 67
1.3035084 449 67
1.3107088 450 67
1.3178848 451 67
1.3251018 452 67
1.3323088 453 67
1.3395068 454 67
1.3467010 455 67
1.3538967 456 67
