nm_new
0.0000522 300
0.0072607 402 40
0.0144064 406 40
0.0216077 409 41
0.0287968 412 42
0.0360046 416 42
0.0432203 419 42
0.0504447 422 44
0.0576624 426 44
0.0648592 429 44
0.0720663 432 44
0.0792479 435 44
0.0864408 439 45
0.0936551 442 45
0.1008693 445 45
0.1080793 448 45
0.1152894 451 46
0.1224891 454 46
0.1296815 457 47
0.1368805 460 47
0.1441092 463 47
0.1513051 466 47
0.1585226 469 48
0.1657205 472 49
0.1729318 475 49
0.1801295 478 50
0.1873192 481 51
0.1945136 484 51
0.2017220 487 53
0.2089435 490 53
0.2161673 492 53
0.2233896 495 53
0.2305815 498 53
0.2377906 501 54
0.2449802 503 54
0.2521766 506 56
0.2593837 509 58
0.2665826 511 58
0.2737741 514 59
0.2809761 517 60
0.2881912 519 60
0.2953924 522 61
0.3025905 524 61
0.3098051 527 62
0.3170070 530 62
0.3242009 532 62
0.3314097 535 62
0.3386071 537 62
0.3457921 539 62
0.3530015 542 63
0.3602121 544 64
0.3674231 547 64
0.3746120 549 64
0.3818050 552 64
0.3890085 554 65
0.3962219 556 67
0.4034206 559 67
0.4106106 561 67
0.4178317 563 67
0.4250434 565 67
0.4322370 568 68
0.4394405 570 68
0.4466141 572 68
0.4537987 574 68
0.4609890 577 68
0.4681713 579 68
0.4754003 581 70
0.4826073 583 70
0.4897921 585 70
0.4969940 587 70
0.5042032 589 71
0.5113856 591 71
0.5185818 594 71
0.5257575 596 71
0.5329636 598 71
0.5401602 600 71
0.5473456 602 71
0.5545452 604 72
0.5617639 606 72
0.5689786 608 73
0.5761722 610 73
0.5833558 611 73
0.5905752 613 73
0.5977880 615 73
0.6049844 617 73
0.6122058 619 73
0.6194116 621 74
0.6266307 623 74
0.6338273 625 74
0.6410363 627 74
0.6482254 628 74
0.6554231 630 74
0.6626326 632 74
0.6698487 634 74
0.6770329 635 74
0.6842279 637 75
0.6914284 639 75
0.6986087 641 75
0.7058354 642 75
0.7130475 644 75
0.7202659 646 75
0.7274689 648 75
0.7346675 649 76
0.7418629 651 76
0.7490654 652 76
0.7562502 654 76
0.7634591 656 76
0.7706710 657 76
0.7778697 659 76
0.7850511 661 76
0.7922358 662 76
0.7994520 664 76
0.8066769 665 76
0.8138839 667 76
0.8210813 668 76
0.8282483 670 76
0.8354489 671 77
0.8426280 673 77
0.8498176 674 77
0.8570179 676 77
0.8642009 677 77
0.8714069 679 77
0.8786093 680 77
0.8858116 682 77
0.8930063 683 78
0.9002104 684 78
0.9074245 686 78
0.9146223 687 78
0.9218438 689 78
0.9290483 690 78
0.9362521 691 78
0.9434678 693 78
0.9506627 694 78
0.9578831 695 78
0.9650829 697 79
0.9722947 698 80
0.9795007 699 80
0.9866946 701 80
0.9938777 702 80
1.0010898 703 80
1.0082852 704 80
1.0154903 706 80
1.0226617 707 80
1.0298632 708 80
1.0370860 709 80
1.0442766 711 80
1.0514868 712 80
1.0587018 713 80
1.0658892 714 80
1.0730926 715 80
1.0802957 717 80
1.0875067 718 80
1.0947096 719 80
1.1019035 720 80
1.1091238 721 80
1.1163244 722 80
1.1235327 724 80
1.1307188 725 80
1.1379237 726 80
1.1451123 727 80
1.1523308 728 80
1.1595423 729 80
1.1667384 730 80
1.1739334 731 80
1.1811356 732 80
1.1883509 733 80
1.1955591 734 80
1.2027741 735 80
1.2099610 737 80
1.2171572 738 80
1.2243414 739 80
1.2315297 740 80
1.2387324 741 80
1.2459420 742 80
1.2531247 743 81
1.2603076 744 81
1.2675036 745 81
1.2747055 746 81
1.2819103 746 81
1.2891202 747 81
1.2963185 748 81
1.3035084 749 81
1.3107088 750 81
1.3178848 751 81
1.3251018 752 81
1.3323088 753 81
1.3395068 754 81
1.3467011 755 81
1.3538967 756 81
1.3611061 757 81
1.3683095 758 81
1.3755192 758 81
1.3827319 759 81
1.3899395 760 81
1.3971429 761 81
1.4043430 762 81
1.4115529 763 81
1.4187414 764 81
1.4259425 764 81
1.4331475 765 81
1.4403598 766 81
1.4475483 767 81
1.4547556 768 81
1.4619763 768 81
1.4691735 769 81
1.4763894 770 81
1.4835901 771 81
1.4907823 772 81
1.4979708 772 81
1.5051767 773 81
1.5123742 774 81
1.5195605 775 81
1.5267574 775 81
1.5339664 776 81
1.5411724 777 81
1.5483813 778 81
1.5555883 778 81
1.5627643 779 81
1.5699750 780 81
1.5771728 781 81
1.5843754 781 81
1.5915643 782 81
1.5987612 783 81
1.6059690 783 81
1.6131659 784 81
1.6203716 785 81
1.6275753 785 81
1.6347925 786 81
1.6419747 787 81
1.6491632 788 81
1.6563507 788 81
1.6635335 789 81
1.6707375 789 81
1.6779376 790 81
1.6851290 791 81
1.6923225 791 81
1.6995270 792 81
1.7067032 793 81
1.7138952 793 81
1.7211160 794 81
1.7283132 795 81
1.7355158 795 81
1.7427177 796 81
1.7499287 796 81
1.7571334 797 81
1.7643396 798 81
1.7715350 798 81
1.7787595 799 81
1.7859680 799 81
1.7931656 800 81
1.8003685 800 81
1.8075695 801 81
1.8147952 802 81
1.8219834 802 81
1.8291799 803 81
1.8364116 803 81
1.8436130 804 81
1.8508255 804 81
1.8580269 805 81
1.8652256 805 81
1.8723931 806 81
1.8795918 807 81
1.8867942 807 81
1.8939985 808 81
1.9012092 808 81
1.9084192 809 81
1.9156239 809 81
1.9228345 810 81
1.9300405 810 81
1.9372344 811 81
1.9444231 811 81
1.9516053 812 81
1.9588138 812 81
1.9660078 813 81
1.9732008 813 81
1.9804092 814 82
1.9876373 814 82
1.9948287 815 82
2.0020306 815 82
2.0092323 815 82
2.0164364 816 82
2.0236372 816 82
2.0308316 817 82
2.0380135 817 82
2.0452006 818 82
2.0523992 818 82
2.0595928 819 83
2.0667943 819 83
2.0740062 820 83
2.0811740 820 83
2.0883669 820 84
2.0955603 821 84
2.1027521 821 84
2.1099813 822 84
2.1171876 822 84
2.1243943 822 84
2.1315936 823 84
2.1387865 823 84
2.1459947 824 84
2.1531986 824 84
2.1604000 825 84
2.1676219 825 84
2.1748370 825 84
2.1820350 826 84
2.1892191 826 84
2.1964199 826 84
2.2036059 827 85
2.2108262 827 85
2.2180197 828 85
2.2251961 828 85
2.2323859 828 85
2.2395554 829 85
2.2467581 829 85
2.2539655 829 85
2.2611541 830 85
2.2683505 830 85
2.2755245 831 85
2.2827078 831 85
2.2898939 831 85
2.2971082 832 85
2.3042880 832 85
2.3114803 832 85
2.3186975 833 85
2.3258851 833 85
2.3330913 833 85
2.3403000 834 85
2.3474880 834 85
2.3546729 834 85
2.3618722 835 85
2.3690540 835 85
2.3762510 835 85
2.3834683 836 85
2.3906876 836 85
2.3978834 836 85
2.4050832 837 85
2.4122748 837 85
2.4194620 837 85
2.4266620 837 85
2.4338733 838 85
2.4410757 838 85
2.4482694 838 85
2.4554412 839 86
2.4626451 839 86
2.4698337 839 87
2.4770325 840 87
2.4842377 840 87
2.4914571 840 87
2.4986552 840 87
2.5058566 841 87
2.5130674 841 88
2.5202813 841 88
2.5274556 842 88
2.5346828 842 88
2.5418877 842 88
2.5490921 842 88
2.5562982 843 88
2.5634835 843 88
2.5706628 843 88
2.5778767 843 88
2.5850673 844 88
2.5922535 844 88
2.5994466 844 88
2.6066344 844 88
2.6138481 845 88
2.6210269 845 88
2.6282152 845 88
2.6354214 845 88
2.6426391 846 88
2.6498343 846 88
2.6570100 846 88
2.6642117 846 88
2.6714147 847 88
2.6786151 847 88
2.6858059 847 88
2.6930155 847 88
2.7002328 848 88
2.7074362 848 88
2.7146492 848 88
2.7218482 848 88
2.7290450 849 88
2.7362289 849 88
2.7434435 849 88
2.7506393 849 88
2.7578397 849 88
2.7650409 850 88
2.7722237 850 88
2.7794331 850 88
2.7866200 850 88
2.7938184 851 88
2.8010288 851 88
2.8082281 851 88
2.8154501 851 88
2.8226363 851 88
2.8298403 852 88
2.8370486 852 88
2.8442263 852 88
2.8514244 852 88
2.8586171 852 88
2.8658279 853 88
2.8730186 853 88
2.8802364 853 88
2.8874325 853 88
2.8946278 853 88
2.9018190 854 88
2.9090057 854 88
2.9161860 854 88
2.9233919 854 88
2.9305909 854 88
2.9377723 854 88
2.9449776 855 88
2.9521844 855 88
2.9593825 855 88
2.9665957 855 88
2.9737794 855 88
2.9809664 856 88
2.9881599 856 88
2.9953733 856 88
3.0025697 856 88
3.0097662 856 88
3.0169890 856 88
3.0241870 857 88
3.0313969 857 88
3.0385967 857 88
3.0458006 857 88
3.0530014 857 88
3.0601833 857 88
3.0673641 858 88
3.0745654 858 88
3.0817530 858 88
3.0889670 858 88
3.0961560 858 88
3.1033744 858 88
3.1105714 859 88
3.1177616 859 88
3.1249563 859 88
3.1321434 859 88
3.1393457 859 88
3.1465502 859 88
3.1537612 859 88
3.1609771 860 88
3.1681672 860 88
3.1753664 860 88
3.1825708 860 88
3.1897950 860 88
3.1969933 860 88
3.2041961 860 88
3.2114000 861 88
3.2185751 861 88
3.2257884 861 88
3.2329895 861 88
3.2401796 861 88
3.2473854 861 88
3.2546185 861 88
3.2618219 862 88
3.2690182 862 88
3.2762150 862 88
3.2834092 862 88
3.2906356 862 88
3.2978354 862 88
3.3050337 862 88
3.3122321 862 88
3.3194302 863 88
3.3266447 863 88
3.3338466 863 88
3.3410484 863 88
3.3482554 863 88
3.3554869 863 88
3.3626952 863 88
3.3698973 863 88
3.3770964 864 88
3.3842916 864 88
3.3914956 864 88
3.3986762 864 88
3.4058664 864 88
3.4130540 864 88
3.4202321 864 88
3.4274329 864 88
3.4346169 865 88
3.4418164 865 88
3.4490177 865 88
3.4562145 865 88
3.4634087 865 88
3.4706089 865 88
3.4777785 865 88
3.4849760 865 88
3.4921487 865 88
3.4993369 866 88
3.5065346 866 88
3.5137251 866 88
3.5208839 866 88
3.5281023 866 88
3.5352904 866 88
3.5425074 866 88
3.5497008 866 88
3.5568982 866 88
3.5640954 866 88
3.5712837 867 88
3.5784929 867 88
3.5856696 867 88
3.5928800 867 88
3.6000860 867 88
3.6073033 867 88
3.6144951 867 88
3.6216796 867 88
3.6288927 867 88
3.6360840 867 88
3.6433084 868 88
3.6505204 868 88
3.6577269 868 88
3.6649190 868 88
3.6721041 868 88
3.6792835 868 88
3.6864913 868 88
3.6936822 868 88
3.7008697 868 88
