objdump
0.0000522 256
0.0072608 1203 39
0.0144065 1209 39
0.0216078 1215 40
0.0287969 1220 41
0.0360047 1226 41
0.0432204 1232 41
0.0504448 1237 42
0.0576625 1243 42
0.0648592 1248 42
0.0720663 1253 42
0.0792480 1259 42
0.0864409 1264 43
0.0936551 1269 43
0.1008694 1275 43
0.1080794 1280 43
0.1152895 1285 44
0.1224891 1290 44
0.1296815 1295 45
0.1368806 1300 45
0.1441093 1305 45
0.1513052 1310 45
0.1585226 1315 46
0.1657205 1320 47
0.1729318 1325 47
0.1801296 1330 48
0.1873192 1335 49
0.1945137 1339 49
0.2017221 1344 51
0.2089436 1349 51
0.2161674 1354 51
0.2233896 1358 51
0.2305816 1363 51
0.2377906 1367 52
0.2449803 1372 52
0.2521767 1377 54
0.2593838 1381 56
0.2665827 1385 56
0.2737742 1390 57
0.2809761 1394 58
0.2881912 1399 58
0.2953925 1403 59
0.3025905 1407 59
0.3098052 1411 60
0.3170071 1416 60
0.3242010 1420 60
0.3314097 1424 60
0.3386072 1428 60
0.3457921 1432 60
0.3530016 1436 61
0.3602122 1440 62
0.3674232 1444 62
0.3746120 1448 62
0.3818051 1452 62
0.3890085 1456 62
0.3962219 1460 64
0.4034207 1464 64
0.4106107 1468 64
0.4178318 1472 64
0.4250434 1475 64
0.4322370 1479 65
0.4394406 1483 65
0.4466142 1487 65
0.4537987 1490 65
0.4609890 1494 65
0.4681714 1498 65
0.4754003 1501 67
0.4826074 1505 67
0.4897921 1508 67
0.4969941 1512 67
0.5042032 1515 68
0.5113857 1519 68
0.5185819 1522 68
0.5257575 1526 68
0.5329636 1529 68
0.5401603 1533 68
0.5473457 1536 68
0.5545452 1539 69
0.5617639 1543 69
0.5689787 1546 70
0.5761723 1549 70
0.5833558 1552 70
0.5905753 1556 70
0.5977880 1559 70
0.6049845 1562 70
0.6122058 1565 70
0.6194117 1568 71
0.6266307 1571 71
0.6338274 1574 71
0.6410364 1577 71
0.6482255 1580 71
0.6554232 1583 71
0.6626327 1586 71
0.6698488 1589 71
0.6770329 1592 71
0.6842279 1595 72
0.6914284 1598 72
0.6986087 1601 72
0.7058355 1604 72
0.7130476 1607 72
0.7202660 1610 72
0.7274690 1612 72
0.7346676 1615 73
0.7418630 1618 73
0.7490654 1621 73
0.7562503 1623 73
0.7634592 1626 73
0.7706710 1629 73
0.7778698 1631 73
0.7850512 1634 73
0.7922359 1637 73
0.7994520 1639 73
0.8066770 1642 73
0.8138839 1644 73
0.8210813 1647 73
0.8282484 1650 73
0.8354489 1652 73
0.8426281 1655 73
0.8498176 1657 73
0.8570180 1659 73
0.8642010 1662 73
0.8714069 1664 73
0.8786094 1667 73
0.8858117 1669 73
0.8930064 1672 73
0.9002104 1674 73
0.9074246 1676 73
0.9146224 1679 73
0.9218439 1681 73
0.9290483 1683 73
0.9362522 1685 73
0.9434679 1688 73
0.9506627 1690 73
0.9578831 1692 73
0.9650830 1694 73
0.9722948 1697 73
0.9795008 1699 73
0.9866947 1701 73
0.9938778 1703 73
1.0010899 1705 73
1.0082853 1707 73
1.0154904 1709 73
1.0226618 1711 73
1.0298633 1714 73
1.0370861 1716 73
1.0442767 1718 73
1.0514869 1720 73
1.0587018 1722 73
1.0658893 1724 73
1.0730926 1726 73
1.0802957 1728 73
1.0875068 1730 73
1.0947096 1732 73
1.1019036 1733 73
1.1091239 1735 73
1.1163245 1737 73
1.1235328 1739 73
1.1307188 1741 73
1.1379237 1743 73
1.1451124 1745 73
1.1523309 1747 73
1.1595423 1748 73
1.1667384 1750 73
1.1739335 1752 73
1.1811357 1754 73
1.1883510 1756 73
1.1955591 1757 73
1.2027741 1759 73
1.2099611 1761 73
1.2171572 1762 73
1.2243415 1764 73
1.2315298 1766 73
1.2387325 1768 73
1.2459421 1769 73
1.2531248 1771 74
1.2603077 1772 74
1.2675037 1774 74
1.2747056 1776 74
1.2819104 1777 74
1.2891203 1779 74
1.2963186 1781 74
1.3035085 1782 74
1.3107089 1784 74
1.3178849 1785 74
1.3251019 1787 74
1.3323089 1788 74
1.3395069 1790 74
1.3467011 1791 74
1.3538968 1793 74
1.3611062 1794 74
1.3683096 1796 74
1.3755192 1797 74
1.3827320 1799 74
1.3899396 1800 74
1.3971430 1802 74
