readelf
0.0000522 156
0.0072622 307 60
0.0144080 317 60
0.0216093 326 61
0.0287987 336 61
0.0360063 346 61
0.0432224 356 61
0.0504468 365 62
0.0576645 375 62
0.0648611 385 62
0.0720681 394 62
0.0792499 403 62
0.0864429 413 63
0.0936572 422 63
0.1008711 431 63
0.1080815 440 63
0.1152917 449 64
0.1224907 458 64
0.1296834 467 65
0.1368827 476 65
0.1441112 485 65
0.1513069 494 65
0.1585247 502 66
0.1657219 511 67
0.1729340 519 67
0.1801313 528 68
0.1873211 536 69
0.1945152 545 69
0.2017238 553 71
0.2089454 561 71
0.2161690 569 71
0.2233916 577 71
0.2305830 585 71
0.2377924 593 72
0.2449822 601 72
0.2521781 609 74
0.2593854 617 76
0.2665842 625 76
0.2737760 633 77
0.2809781 640 78
0.2881934 648 78
0.2953946 655 79
0.3025923 663 79
0.3098069 670 80
0.3170091 678 80
0.3242024 685 80
0.3314113 692 80
0.3386089 700 80
0.3457941 707 80
0.3530032 714 81
0.3602143 721 82
0.3674245 728 82
0.3746139 735 82
0.3818067 742 82
0.3890101 749 83
0.3962234 756 85
0.4034226 762 85
0.4106128 769 85
0.4178340 776 85
0.4250454 782 85
0.4322384 789 86
0.4394421 796 86
0.4466160 802 86
0.4538005 808 86
0.4609909 815 86
0.4681735 821 87
0.4754023 828 89
0.4826091 834 89
0.4897938 840 89
0.4969960 846 89
0.5042048 852 90
0.5113876 858 90
0.5185835 864 90
0.5257597 870 90
0.5329653 876 90
0.5401622 882 90
0.5473471 888 90
0.5545467 894 91
0.5617657 900 91
0.5689806 905 92
0.5761737 911 92
0.5833575 917 92
0.5905772 922 92
0.5977895 928 92
0.6049860 934 92
0.6122073 939 92
0.6194131 945 93
0.6266329 950 93
0.6338292 955 93
0.6410379 961 93
0.6482271 966 93
0.6554246 971 93
0.6626344 976 93
0.6698504 982 93
0.6770348 987 93
0.6842295 992 94
0.6914301 997 94
0.6986105 1002 94
0.7058370 1007 94
0.7130496 1012 94
0.7202677 1017 94
0.7274712 1022 94
0.7346690 1027 95
0.7418650 1032 95
0.7490674 1036 95
0.7562517 1041 95
0.7634609 1046 95
0.7706726 1051 95
0.7778714 1055 95
0.7850529 1060 95
0.7922373 1064 95
0.7994539 1069 95
0.8066791 1074 95
0.8138859 1078 95
0.8210829 1083 95
0.8282498 1087 95
0.8354505 1091 96
0.8426302 1096 96
0.8498196 1100 96
0.8570199 1104 96
0.8642026 1109 96
0.8714087 1113 96
0.8786109 1117 96
0.8858134 1121 96
0.8930079 1125 97
0.9002124 1129 97
0.9074267 1134 97
0.9146240 1138 97
0.9218459 1142 97
0.9290500 1146 97
0.9362538 1150 97
0.9434698 1154 97
0.9506645 1158 97
0.9578853 1161 97
0.9650847 1165 98
0.9722968 1169 99
0.9795029 1173 99
0.9866967 1177 99
0.9938799 1180 99
1.0010914 1184 99
1.0082869 1188 99
1.0154923 1192 99
1.0226636 1195 100
1.0298648 1199 100
1.0370876 1202 100
1.0442786 1206 100
1.0514888 1210 100
1.0587035 1213 100
1.0658912 1217 100
1.0730948 1220 100
1.0802975 1224 100
1.0875082 1227 100
1.0947111 1230 100
1.1019052 1234 100
1.1091257 1237 100
1.1163261 1240 100
1.1235345 1244 100
1.1307206 1247 100
1.1379252 1250 100
1.1451138 1253 100
1.1523328 1257 100
1.1595444 1260 100
1.1667400 1263 100
1.1739354 1266 100
1.1811377 1269 100
1.1883525 1272 100
1.1955610 1275 100
1.2027763 1278 100
1.2099631 1281 100
1.2171593 1284 100
1.2243433 1287 100
1.2315319 1290 100
1.2387341 1293 100
1.2459438 1296 100
1.2531267 1299 101
1.2603096 1302 101
1.2675053 1305 101
1.2747077 1308 101
1.2819122 1311 101
1.2891224 1313 101
1.2963205 1316 101
1.3035106 1319 101
1.3107104 1322 101
1.3178863 1324 101
1.3251037 1327 101
1.3323107 1330 101
1.3395088 1332 101
1.3467027 1335 101
1.3538989 1338 101
1.3611082 1340 101
1.3683111 1343 101
1.3755208 1345 101
1.3827339 1348 101
1.3899413 1350 101
1.3971450 1353 101
1.4043450 1355 101
1.4115550 1358 101
