readpng
0.0000522 117
0.0072608 202 40
0.0144065 206 40
0.0216078 209 41
0.0287969 213 42
0.0360047 216 42
0.0432204 220 42
0.0504448 223 44
0.0576625 226 44
0.0648592 230 44
0.0720663 233 44
0.0792480 236 44
0.0864409 239 45
0.0936551 243 45
0.1008694 246 45
0.1080794 249 45
0.1152895 252 46
0.1224891 255 46
0.1296815 258 47
0.1368806 262 47
0.1441093 265 47
0.1513052 268 47
0.1585226 271 48
0.1657205 274 49
0.1729318 277 49
0.1801296 280 50
0.1873192 283 51
0.1945137 285 51
0.2017221 288 53
0.2089436 291 53
0.2161674 294 53
0.2233896 297 53
0.2305816 300 53
0.2377906 303 54
0.2449803 305 54
0.2521767 308 56
0.2593838 311 58
0.2665827 314 58
0.2737742 316 59
0.2809761 319 60
0.2881912 322 60
0.2953925 324 61
0.3025905 327 61
0.3098052 329 62
0.3170071 332 62
0.3242010 335 62
0.3314097 337 62
0.3386072 340 62
0.3457921 342 62
0.3530016 345 63
0.3602122 347 64
0.3674232 350 64
0.3746120 352 64
0.3818051 354 64
0.3890085 357 64
0.3962219 359 66
0.4034207 362 66
0.4106107 364 66
0.4178318 366 66
0.4250434 369 66
0.4322370 371 67
0.4394406 373 67
0.4466142 375 67
0.4537987 378 67
0.4609890 380 67
0.4681714 382 67
0.4754003 384 69
0.4826074 386 69
0.4897921 389 69
0.4969941 391 69
0.5042032 393 70
0.5113857 395 70
0.5185819 397 70
0.5257575 399 70
0.5329636 401 70
0.5401603 403 70
0.5473457 405 70
0.5545452 407 71
0.5617639 409 71
0.5689787 412 72
0.5761723 413 72
0.5833558 415 72
0.5905753 417 72
0.5977880 419 72
0.6049845 421 72
0.6122058 423 72
0.6194117 425 73
0.6266307 427 73
0.6338274 429 73
0.6410364 431 73
0.6482255 433 73
0.6554232 434 73
0.6626327 436 73
0.6698488 438 73
0.6770329 440 73
0.6842279 442 74
0.6914284 443 74
0.6986087 445 74
0.7058355 447 74
0.7130476 449 74
0.7202660 450 74
0.7274690 452 74
0.7346676 454 75
0.7418630 456 75
0.7490654 457 75
0.7562503 459 75
0.7634592 461 75
0.7706710 462 75
0.7778698 464 75
0.7850512 465 75
0.7922359 467 75
0.7994520 469 75
0.8066770 470 75
0.8138839 472 75
0.8210813 473 75
0.8282484 475 75
0.8354489 476 76
0.8426281 478 76
0.8498176 479 76
0.8570180 481 76
0.8642010 482 76
0.8714069 484 76
0.8786094 485 76
0.8858117 487 76
0.8930064 488 76
0.9002104 490 76
0.9074246 491 76
0.9146224 493 76
0.9218439 494 76
0.9290483 495 76
0.9362522 497 76
0.9434679 498 76
0.9506627 500 76
0.9578831 501 76
0.9650830 502 76
0.9722948 504 77
0.9795008 505 77
0.9866947 506 77
0.9938778 508 77
1.0010899 509 77
1.0082853 510 77
1.0154904 511 77
1.0226618 513 77
1.0298633 514 77
1.0370861 515 77
1.0442767 516 77
1.0514869 518 77
1.0587018 519 77
1.0658893 520 77
1.0730926 521 77
1.0802957 523 77
1.0875068 524 77
1.0947096 525 77
1.1019036 526 77
1.1091239 527 77
1.1163245 528 77
1.1235328 530 77
1.1307188 531 77
1.1379237 532 77
1.1451124 533 77
1.1523309 534 77
1.1595423 535 77
1.1667384 536 77
1.1739335 537 77
1.1811357 539 77
1.1883510 540 77
1.1955591 541 77
1.2027741 542 77
1.2099611 543 77
1.2171572 544 77
1.2243415 545 77
1.2315298 546 77
1.2387325 547 77
1.2459421 548 77
1.2531248 549 78
1.2603077 550 78
1.2675037 551 78
1.2747056 552 78
1.2819104 553 78
1.2891203 554 78
1.2963186 555 78
1.3035085 556 78
1.3107089 557 78
1.3178849 558 78
1.3251019 559 78
1.3323089 560 78
1.3395069 561 78
1.3467011 562 78
1.3538968 562 78
1.3611062 563 78
1.3683096 564 78
1.3755192 565 78
1.3827320 566 78
1.3899396 567 78
1.3971430 568 78
1.4043431 569 78
1.4115529 570 78
1.4187415 570 78
1.4259426 571 78
1.4331476 572 78
1.4403599 573 78
1.4475484 574 78
1.4547557 575 78
1.4619764 575 78
1.4691736 576 78
1.4763895 577 78
1.4835901 578 78
1.4907823 579 78
1.4979708 579 78
1.5051768 580 78
1.5123742 581 78
1.5195605 582 78
1.5267575 583 78
1.5339665 583 78
1.5411725 584 78
1.5483814 585 78
1.5555883 586 78
1.5627644 586 78
1.5699751 587 78
1.5771728 588 78
1.5843755 588 78
1.5915644 589 78
1.5987612 590 78
1.6059691 591 78
1.6131660 591 78
1.6203717 592 78
1.6275753 593 78
1.6347925 593 78
1.6419748 594 78
1.6491632 595 78
1.6563507 595 78
1.6635335 596 78
1.6707376 597 78
1.6779376 597 78
1.6851291 598 78
1.6923225 599 78
1.6995270 599 78
1.7067033 600 78
1.7138953 601 78
1.7211161 601 78
1.7283132 602 78
1.7355158 603 78
1.7427178 603 78
1.7499288 604 78
1.7571335 604 78
1.7643397 605 78
1.7715351 606 78
1.7787596 606 78
1.7859681 607 78
1.7931657 607 78
1.8003686 608 78
1.8075696 609 78
1.8147953 609 78
1.8219834 610 78
1.8291799 610 78
1.8364117 611 78
1.8436131 611 78
1.8508256 612 78
1.8580270 613 78
1.8652257 613 78
1.8723932 614 78
1.8795919 614 78
1.8867943 615 78
1.8939985 615 78
1.9012093 616 78
1.9084193 616 78
1.9156239 617 78
1.9228346 617 78
1.9300405 618 78
1.9372345 618 78
1.9444232 619 78
1.9516054 619 78
1.9588138 620 78
1.9660079 620 78
1.9732009 621 78
1.9804093 621 79
1.9876373 622 79
1.9948288 622 79
2.0020306 623 79
2.0092323 623 79
2.0164364 624 79
2.0236372 624 79
2.0308317 625 79
2.0380136 625 79
2.0452007 626 79
2.0523992 626 79
2.0595928 626 80
2.0667944 627 80
2.0740063 627 80
