tcpdump
0.0000522 22
0.0072607 102 37
0.0144064 105 37
0.0216077 109 38
0.0287968 112 39
0.0360046 115 39
0.0432203 118 39
0.0504447 121 40
0.0576624 124 40
0.0648592 127 40
0.0720663 130 40
0.0792479 133 40
0.0864408 136 41
0.0936551 139 41
0.1008693 142 41
0.1080793 145 41
0.1152894 148 42
0.1224891 151 42
0.1296815 154 43
0.1368805 157 43
0.1441092 159 43
0.1513051 162 43
0.1585226 165 44
0.1657205 168 45
0.1729318 171 45
0.1801295 173 46
0.1873192 176 47
0.1945136 179 47
0.2017220 181 49
0.2089435 184 49
0.2161673 187 49
0.2233896 189 49
0.2305815 192 49
0.2377906 194 50
0.2449802 197 50
0.2521766 199 52
0.2593837 202 54
0.2665826 204 54
0.2737741 207 55
0.2809761 209 56
0.2881912 212 56
0.2953924 214 57
0.3025905 217 57
0.3098051 219 58
0.3170070 221 58
0.3242009 224 58
0.3314097 226 58
0.3386071 228 58
0.3457921 231 58
0.3530015 233 59
0.3602121 235 60
0.3674231 238 60
0.3746120 240 60
0.3818050 242 60
0.3890085 244 60
0.3962219 246 62
0.4034206 249 62
0.4106106 251 62
0.4178317 253 62
0.4250434 255 62
0.4322370 257 63
0.4394405 259 63
0.4466141 261 63
0.4537987 263 63
0.4609890 266 63
0.4681713 268 63
0.4754003 270 65
0.4826073 272 65
0.4897921 274 65
0.4969940 276 65
0.5042032 278 66
0.5113856 279 66
0.5185818 281 66
0.5257575 283 66
0.5329636 285 66
0.5401602 287 66
0.5473456 289 66
0.5545452 291 67
0.5617639 293 67
0.5689786 295 68
0.5761722 296 68
0.5833558 298 68
0.5905752 300 68
0.5977880 302 68
0.6049844 304 68
0.6122058 305 68
0.6194116 307 69
0.6266307 309 69
0.6338273 311 69
0.6410363 312 69
0.6482254 314 69
0.6554231 316 69
0.6626326 317 69
0.6698487 319 69
0.6770329 321 69
0.6842279 322 70
0.6914284 324 70
0.6986087 326 70
0.7058354 327 70
0.7130475 329 70
0.7202659 330 70
0.7274689 332 70
0.7346675 334 71
0.7418629 335 71
0.7490654 337 71
0.7562502 338 71
0.7634591 340 71
0.7706710 341 71
0.7778697 343 71
0.7850511 344 71
0.7922358 346 71
0.7994520 347 71
0.8066769 349 71
0.8138839 350 71
0.8210813 352 71
0.8282483 353 71
0.8354489 354 72
0.8426280 356 72
0.8498176 357 72
0.8570179 359 72
0.8642009 360 72
0.8714069 361 72
0.8786093 363 72
0.8858116 364 72
0.8930063 365 72
0.9002104 367 72
0.9074245 368 72
0.9146223 369 72
0.9218438 371 72
0.9290483 372 72
0.9362521 373 72
0.9434678 374 72
0.9506627 376 72
0.9578831 377 72
0.9650829 378 72
0.9722947 379 72
0.9795007 381 72
0.9866946 382 72
0.9938777 383 72
1.0010898 384 72
1.0082852 385 72
1.0154903 387 72
1.0226617 388 72
1.0298632 389 72
1.0370860 390 72
1.0442766 391 72
1.0514868 392 72
1.0587018 394 72
1.0658892 395 72
1.0730926 396 72
1.0802957 397 72
1.0875067 398 72
1.0947096 399 72
1.1019035 400 72
1.1091238 401 72
1.1163244 402 72
1.1235327 403 72
1.1307188 404 72
1.1379237 405 72
1.1451123 406 72
1.1523308 408 72
1.1595423 409 72
1.1667384 410 72
1.1739334 411 72
1.1811356 412 72
1.1883509 413 72
1.1955591 414 72
1.2027741 415 72
1.2099610 415 72
1.2171572 416 72
1.2243414 417 72
1.2315297 418 72
1.2387324 419 72
1.2459420 420 72
1.2531247 421 73
1.2603076 422 73
1.2675036 423 73
1.2747055 424 73
1.2819103 425 73
1.2891202 426 73
1.2963185 427 73
1.3035084 428 73
1.3107088 428 73
1.3178848 429 73
1.3251018 430 73
1.3323088 431 73
1.3395068 432 73
1.3467011 433 73
1.3538967 434 73
1.3611061 434 73
1.3683095 435 73
1.3755192 436 73
1.3827319 437 73
