xmllint
0.0000522 732
0.0072617 904 70
0.0144075 911 70
0.0216088 917 71
0.0287982 923 72
0.0360058 930 72
0.0432219 936 72
0.0504463 942 73
0.0576640 948 73
0.0648606 954 73
0.0720676 960 73
0.0792494 966 73
0.0864424 972 74
0.0936567 978 74
0.1008706 984 74
0.1080810 990 74
0.1152912 996 75
0.1224902 1002 75
0.1296829 1007 76
0.1368822 1013 76
0.1441107 1019 76
0.1513064 1024 76
0.1585242 1030 77
0.1657214 1036 78
0.1729335 1041 78
0.1801308 1046 79
0.1873207 1052 80
0.1945147 1057 80
0.2017233 1063 82
0.2089449 1068 82
0.2161685 1073 82
0.2233911 1078 82
0.2305825 1084 82
0.2377919 1089 83
0.2449818 1094 83
0.2521776 1099 85
0.2593849 1104 87
0.2665837 1109 87
0.2737755 1114 88
0.2809776 1119 89
0.2881929 1124 89
0.2953941 1128 90
0.3025918 1133 90
0.3098064 1138 91
0.3170086 1143 91
0.3242019 1148 91
0.3314108 1152 91
0.3386084 1157 91
0.3457936 1161 91
0.3530027 1166 92
0.3602138 1171 93
0.3674240 1175 93
0.3746134 1180 93
0.3818062 1184 93
0.3890096 1188 94
0.3962229 1193 96
0.4034221 1197 96
0.4106123 1202 96
0.4178335 1206 96
0.4250449 1210 96
0.4322379 1214 97
0.4394416 1219 97
0.4466155 1223 97
0.4538000 1227 97
0.4609904 1231 97
0.4681730 1235 98
0.4754018 1239 100
0.4826086 1243 100
0.4897933 1247 100
0.4969955 1251 100
0.5042043 1255 101
0.5113871 1259 101
0.5185830 1263 102
0.5257592 1267 102
0.5329648 1270 102
0.5401617 1274 102
0.5473466 1278 102
0.5545462 1282 103
0.5617652 1286 103
0.5689801 1289 104
0.5761732 1293 104
0.5833570 1296 104
0.5905767 1300 104
0.5977890 1304 104
0.6049855 1307 105
0.6122068 1311 105
0.6194126 1314 106
0.6266324 1318 106
0.6338287 1321 106
0.6410374 1325 106
0.6482267 1328 106
0.6554241 1332 106
0.6626339 1335 106
0.6698499 1338 106
0.6770343 1342 106
0.6842290 1345 107
0.6914296 1348 107
0.6986100 1351 107
0.7058365 1355 107
0.7130491 1358 107
0.7202672 1361 107
0.7274707 1364 107
0.7346685 1367 108
0.7418645 1370 108
0.7490669 1373 108
0.7562512 1376 108
0.7634604 1379 108
0.7706721 1383 108
0.7778709 1386 108
0.7850524 1388 108
0.7922369 1391 108
0.7994534 1394 108
0.8066786 1397 108
0.8138854 1400 108
0.8210824 1403 108
0.8282493 1406 108
0.8354500 1409 109
0.8426297 1411 109
0.8498191 1414 109
0.8570194 1417 109
0.8642021 1420 109
0.8714082 1423 109
0.8786104 1425 109
0.8858129 1428 109
0.8930075 1431 110
0.9002120 1433 110
0.9074262 1436 110
0.9146235 1438 110
0.9218454 1441 110
0.9290495 1444 110
0.9362533 1446 110
0.9434693 1449 110
0.9506640 1451 110
0.9578848 1454 110
0.9650842 1456 111
0.9722963 1459 112
0.9795024 1461 112
0.9866963 1464 112
0.9938795 1466 112
1.0010909 1468 112
1.0082864 1471 112
1.0154918 1473 112
1.0226631 1476 113
1.0298643 1478 113
1.0370871 1480 113
1.0442781 1482 113
1.0514883 1485 113
1.0587030 1487 113
1.0658907 1489 113
1.0730943 1491 113
1.0802970 1494 113
1.0875077 1496 113
1.0947106 1498 113
1.1019047 1500 113
